ID,Name,Age,Club,Position,Wage,IR,Value,PAC,SHO,PAS,DRI,DEF,PHY
113422,David Villa,37,Vissel Kobe,ST,10000,3,3700000,65,81,73,80,34,67
115909,Rubén Castro,39,FC Cartagena,ST,5000,2,700000,70,73,62,75,30,59
118646,I. Henderson,35,Salford City,ST,5000,1,300000,59,68,63,68,36,69
120274,A. Di Natale,37,Udinese,ST,35000,2,850000,79,82,80,84,25,53
122066,R. König,37,FSV Zwickau,ST,550,1,130000,30,68,48,46,37,73
122849,A. Koné,36,Sivasspor,ST,10000,2,850000,65,74,62,69,37,65
123576,M. Borriello,35,SPAL,ST,15000,2,4099999,60,75,61,71,27,68
124375,B. Yılmaz,34,LOSC Lille,ST,41000,2,5500000,80,81,65,69,34,77
134779,J. Briand,34,FC Girondins de Bordeaux,ST,31000,2,3500000,63,75,72,73,46,72
136553,Lee Dong Gook,41,Jeonbuk Hyundai Motors,ST,5000,3,0,32,77,62,58,29,62
137361,G. Pazzini,35,Hellas Verona,ST,10000,2,475000,51,67,56,68,34,60
137494,O. Martins,35,Wuhan Zall,ST,10000,3,3100000,85,74,64,76,37,74
138806,M. López,36,Crotone,ST,4000,2,325000,48,68,62,66,29,65
138984,Hugo Almeida,33,AEK Athens,ST,1000,2,2000000,53,75,57,57,31,79
139296,D. Nugent,35,Preston North End,ST,7000,1,300000,52,67,58,68,35,57
139317,J. Stead,37,Harrogate Town,ST,2000,1,45000,42,59,54,53,30,64
139799,S. Silva,39,Argentinos Juniors,ST,8000,1,900000,34,75,62,65,43,78
140384,Jô,32,Nagoya Grampus,ST,9000,2,4500000,65,72,65,70,28,75
141111,Z. Dedič,35,WSG Tirol,ST,4000,2,400000,68,72,58,67,35,71
142707,L. López,37,Racing Club,ST,18000,2,3700000,69,80,73,77,50,69
142938,G. Denis,35,Club Atlético Lanús,ST,10000,2,1100000,38,74,60,61,28,70
143119,M. Pavone,36,Estudiantes de La Plata,ST,10000,2,850000,51,75,56,62,31,79
144050,A. Bunjaku,36,Viktoria Köln,ST,2000,2,275000,60,68,56,69,37,65
146439,Negredo,34,Cádiz CF,ST,31000,3,4099999,63,78,64,70,36,78
146758,Soldado,35,Granada CF,ST,21000,3,3500000,54,78,71,73,44,68
148803,K. Huntelaar,36,Ajax,ST,12000,3,2000000,48,79,63,63,35,68
149306,V. Bojinov,33,Pescara,ST,3000,2,650000,67,69,62,71,23,72
149825,D. Murphy,36,Bolton Wanderers,ST,2000,1,275000,39,70,58,59,33,74
150418,M. Gómez,33,VfB Stuttgart,ST,26000,3,3500000,52,74,59,66,35,74
150525,P. Guerrero,30,Peru,ST,0,3,0,68,75,67,77,32,73
152718,Ricardo Vaz Tê,33,Portimonense SC,ST,7000,1,1500000,74,71,64,69,42,72
152912,J. Sand,39,Club Atlético Lanús,ST,15000,1,1900000,51,79,61,65,37,72
152997,D. Cvitanich,36,Racing Club,ST,14000,2,2000000,58,74,71,71,36,66
154472,Jorge Molina,38,Granada CF,ST,24000,1,3700000,36,82,67,70,42,73
155533,L. Clarke,35,Shrewsbury,ST,3000,1,350000,53,66,57,61,29,72
156321,A. Akinfenwa,38,Wycombe Wanderers,ST,3000,1,190000,42,64,54,56,35,81
156432,G. Hoarau,36,FC Sion,ST,23000,2,2000000,43,76,68,68,44,74
157707,B. Berisha,34,Western United FC,ST,2000,1,475000,54,67,58,63,30,78
158370,F. Evacuo,36,Trapani,ST,900,1,230000,43,69,56,54,37,71
158525,K. Jones,32,Atlanta United,ST,3000,2,525000,51,67,49,58,35,72
158543,O. Peralta,36,Guadalajara,ST,17000,2,375000,63,69,62,67,41,67
159195,R. Nurse,36,Pachuca,ST,3000,1,160000,50,66,58,57,29,67
159261,F. Quagliarella,37,Sampdoria,ST,22000,2,5500000,64,85,75,80,30,63
162131,Llorente,35,Napoli,ST,41000,3,3100000,31,76,61,66,33,68
162369,V. Ibišević,35,FC Schalke 04,ST,21000,2,3100000,50,76,67,71,43,71
163050,B. Sharp,34,Sheffield United,ST,30000,1,2100000,57,74,62,64,42,68
163340,D. Graham,34,Sunderland,ST,6000,2,400000,36,69,60,62,47,71
163396,J. Vaughan,31,Tranmere Rovers,ST,3000,1,400000,69,65,53,62,44,72
163828,A. Le Fondre,33,Sydney FC,ST,6000,1,1100000,65,73,62,69,30,68
164029,Charles,35,SD Eibar,ST,21000,1,4800000,60,79,62,76,35,67
164376,G. Pellè,34,Shandong Luneng TaiShan FC,ST,20000,3,3500000,44,75,65,63,34,85
164464,B. Wright-Phillips,35,Los Angeles FC,ST,7000,1,2600000,65,74,58,69,43,65
164471,Xisco,34,Peñarol,ST,500,1,1200000,32,75,52,63,33,81
164559,C. Wondolowski,37,San Jose Earthquakes,ST,3000,1,325000,40,71,57,61,46,67
164769,S. Fletcher,33,Stoke City,ST,17000,2,1100000,51,72,58,67,33,70
165191,C. Jerome,32,Göztepe SK,ST,15000,2,1400000,70,70,51,64,44,79
165269,R. Boukari,33,La Berrichonne de Châteauroux,ST,2000,1,275000,71,61,60,65,29,61
165429,C. Keșerü,33,Romania,ST,0,2,0,68,75,66,66,42,70
165560,M. Ruben,32,Rosario Central,ST,17000,1,4500000,76,72,63,70,42,72
165788,L. Ulloa,33,Rayo Vallecano,ST,5000,1,1100000,36,69,62,68,50,79
166114,C. Kazim-Richards,33,Pachuca,ST,8000,2,575000,58,69,66,62,34,81
166844,K. Lafferty,32,Northern Ireland,ST,0,1,0,60,67,59,62,31,77
167437,D. Stroh-Engel,34,SpVgg Unterhaching,ST,2000,1,240000,37,66,47,52,35,70
167664,G. Higuaín,32,Inter Miami,ST,17000,4,20500000,65,85,71,80,31,69
167706,N. Bendtner,31,FC København,ST,15000,2,1600000,63,69,65,65,42,70
168533,Cléo,34,Qingdao Huanghai F.C.,ST,4000,1,240000,40,67,52,60,23,57
169465,M. Derbyshire,34,Macarthur FC,ST,1000,1,275000,72,66,56,62,29,61
169498,J. Garner,32,Wigan Athletic,ST,3000,1,600000,64,68,54,65,47,77
169527,V. Anichebe,28,Sunderland,ST,40000,2,3400000,72,72,63,70,46,78
169586,F. Campbell,32,Huddersfield Town,ST,11000,2,600000,67,66,61,68,36,67
169907,S. Miller,32,Bolton Wanderers,ST,3000,1,200000,78,60,44,66,30,64
170056,J. Grant,32,Swindon Town,ST,3000,1,240000,80,58,59,65,38,59
170569,David Rodríguez,33,Racing Santander,ST,4000,1,475000,68,68,58,62,33,63
171828,I. Scocco,35,Newell's Old Boys,ST,13000,2,3100000,70,80,73,82,35,65
171975,G. Bergessio,35,Nacional de Montevideo,ST,500,2,3100000,68,75,61,68,34,75
172049,E. Elia,33,FC Utrecht,LW,18000,2,4700000,92,68,67,84,35,66
172823,N. Maynard,33,Mansfield Town,ST,6000,1,350000,74,65,59,65,29,65
172937,G. Murray,36,Watford,ST,14000,1,2000000,30,75,59,66,42,66
172960,L. Grabban,32,Nottingham Forest,ST,42000,1,3200000,69,73,60,69,31,68
173608,Joselu,30,Deportivo Alavés,ST,26000,1,7500000,56,77,67,71,30,71
176048,K. Kamara,35,Minnesota United FC,ST,6000,1,1800000,73,72,61,71,35,78
176211,M. Robak,35,Śląsk Wrocław,ST,5000,1,825000,57,69,52,66,39,73
176237,J. Altidore,30,Toronto FC,ST,9000,3,5500000,67,75,61,69,32,80
176481,M. Erdinç,33,Fatih Karagümrük S.K.,ST,11000,2,1500000,69,72,63,69,44,71
176542,C. Valencia,35,Junior FC,ST,2000,1,475000,76,71,58,67,42,60
176600,K. Gameiro,33,Valencia CF,ST,43000,3,8000000,86,79,74,75,43,67
176619,A. Ramos,34,América de Cali,ST,2000,2,1600000,75,70,64,68,46,72
176761,Rodrigão,31,Santo André,ST,0,3,0,72,71,45,65,42,73
176769,Jonas,34,SL Benfica,ST,20000,3,11500000,62,85,76,82,38,63
176841,L. Jutkiewicz,31,Birmingham City,ST,15000,1,2800000,60,71,57,65,44,82
176941,A. Rooney,31,Salford City,ST,4000,1,275000,57,62,52,60,25,72
177134,D. Ba,35,Medipol Başakşehir FK,ST,21000,3,1400000,69,74,68,68,45,69
177176,H. de Noteboom,32,Netherlands,ST,0,4,0,85,88,68,85,55,80
177193,B. Ronhaar,23,Netherlands,LW,0,4,0,93,71,83,89,37,65
177392,D. Mbokani,34,Royal Antwerp FC,ST,27000,2,5500000,67,78,67,77,40,74
177491,Eduardo da Silva,35,Legia Warszawa,ST,4000,2,400000,68,67,65,70,31,54
177528,A. Matri,34,Sassuolo,ST,27000,2,925000,57,67,58,66,37,65
177561,B. Rodriguez,20,River Plate,ST,0,1,0,45,53,32,47,21,46
177589,A. Sgrigna,34,Cittadella,ST,4000,1,275000,62,63,60,73,27,57
177633,Ángel,33,Getafe CF,ST,36000,1,8000000,73,82,62,79,34,67
177765,P. Cissé,34,Alanyaspor,ST,17000,2,4099999,61,78,67,75,38,66
177803,D. Paponi,28,Latina,ST,4000,1,875000,63,66,61,65,23,70
178091,S. Okaka,30,Udinese,ST,18000,2,6500000,61,74,58,70,30,80
178224,J. Hernández,32,LA Galaxy,ST,11000,3,7000000,70,77,64,76,31,61
178264,Nenê,36,Moreirense FC,ST,5000,2,325000,46,71,58,63,28,70
178311,Éder,33,Jiangsu Suning FC,ST,29000,3,8000000,87,78,75,80,29,67
178475,D. Ciofani,33,US Cremonese,ST,3000,2,1100000,61,70,42,56,25,72
178535,P. Osvaldo,33,Club Atlético Banfield,ST,13000,2,2000000,53,74,62,71,30,68
179516,R. Hennings,32,Fortuna Düsseldorf,ST,28000,1,5500000,65,80,62,68,40,77
179527,L. Rémy,33,Çaykur Rizespor,ST,17000,2,4800000,71,77,65,73,37,67
179549,S. Maierhofer,37,FC Admira Wacker Mödling,ST,2000,1,160000,30,68,51,43,50,74
179574,G. Hooper,32,Wellington Phoenix,ST,5000,1,2500000,60,73,62,68,26,67
179746,S. Vokes,30,Stoke City,ST,15000,1,1000000,46,72,58,60,43,80
179752,O. Cardozo,37,Club Libertad,ST,500,2,1100000,30,78,63,63,28,68
179855,J. Beckford,34,Bury,ST,5000,1,275000,64,65,48,57,31,67
179860,R. Reid,31,Cheltenham Town,ST,3000,1,275000,72,61,51,61,34,69
179875,D. N'Doye,34,FC København,ST,21000,2,3000000,69,72,60,70,39,79
179902,Cidimar,28,VfR Aalen,ST,1000,1,250000,64,62,52,63,27,68
179972,E. Derdiyok,31,Göztepe SK,ST,20000,2,2800000,36,74,66,66,32,72
180818,D. McGoldrick,32,Sheffield United,ST,33000,1,4500000,65,72,72,77,33,68
180826,Luiz Adriano,31,Spartak Moscow,ST,2000,2,9500000,77,77,66,77,33,66
180930,E. Džeko,34,Roma,ST,500,3,13500000,59,84,71,75,46,73
181120,Chong Te Se,36,Shimizu S-Pulse,ST,1000,2,190000,60,66,62,61,40,75
181281,T. Necid,29,ADO Den Haag,ST,5000,1,900000,48,69,53,58,35,71
181375,M. Martins,33,Bolivia,ST,0,2,0,56,75,63,67,36,75
181480,A. Kwasnik,30,Central Coast Mariners,ST,2000,1,70000,64,57,52,60,36,57
181780,T. Matavž,31,Slovenia,ST,0,2,0,47,73,51,66,30,67
181989,A. Ríos,30,San Jose Earthquakes,ST,4000,1,875000,66,68,62,70,32,71
182212,A. Modeste,32,1. FC Köln,ST,28000,2,5500000,72,74,63,70,35,80
182427,Yang Xu,33,China PR,ST,4000,1,275000,60,61,53,59,28,71
182836,A. Carroll,31,Newcastle United,ST,36000,2,5000000,37,76,62,66,46,75
182883,K. Agard,30,Milton Keynes Dons,ST,3000,1,425000,79,64,54,64,40,70
183025,M. Simon,34,Central Coast Mariners,ST,700,1,130000,66,59,45,55,43,85
183125,T. Deeney,32,Watford,ST,21000,2,6000000,55,79,67,70,37,84
183177,L. Barrios,35,Gimnasia y Esgrima La Plata,ST,8000,3,825000,56,73,62,66,42,71
183211,M. Škoda,34,Çaykur Rizespor,ST,11000,1,1200000,55,71,61,66,48,75
183249,R. Bobadilla,33,Club Guaraní,ST,500,2,1100000,61,74,65,66,47,80
183336,P. Helland,30,Rosenborg BK,RW,4000,1,850000,71,68,68,69,46,67
183375,Fábio Paim,20,Chelsea,RW,0,1,0,81,53,59,78,34,52
183425,T. Elliott,29,Salford City,ST,5000,1,450000,74,61,49,62,34,76
183483,K. Mitroglou,32,Olympique de Marseille,ST,31000,3,3200000,51,76,65,65,20,77
183518,Rui Fonte,30,SC Braga,ST,9000,2,1700000,63,68,67,69,43,62
183580,N. Petersen,31,SC Freiburg,ST,27000,2,7000000,54,79,59,65,45,73
183593,J. John,31,VVV-Venlo,LW,4000,1,775000,86,61,61,71,30,47
183712,S. Mölders,35,TSV 1860 München,ST,800,1,300000,44,68,49,52,36,75
183714,S. Terodde,32,Hamburger SV,ST,15000,2,4500000,62,76,54,65,38,77
183807,P. Amond,32,Newport County,ST,3000,1,240000,65,62,49,58,37,65
183831,A. Dona Ndoh,34,AS Nancy Lorraine,ST,2000,1,240000,61,63,54,56,26,73
183833,F. Andriatsima,36,Al Fayha,ST,5000,1,230000,56,67,57,63,29,66
183920,R. Sukuta-Pasu,28,MSV Duisburg,ST,5000,1,925000,75,66,53,63,32,81
183982,N. Roux,32,Nîmes Olympique,ST,14000,2,1400000,66,70,63,71,37,65
184069,S. Wagner,31,Tianjin TEDA FC,ST,19000,2,8000000,57,77,54,63,39,83
184111,C. Benteke,29,Crystal Palace,ST,39000,3,3100000,57,73,61,64,32,73
184136,Orlando Sá,32,Málaga CF,ST,5000,1,725000,56,68,58,63,36,66
184143,A. Jacobsen,30,SønderjyskE,ST,4000,1,525000,73,64,47,65,36,59
184200,M. Arnautović,31,Austria,ST,24000,3,20000000,80,82,79,79,44,81
184218,L. Vibe,33,FC Midtjylland,ST,8000,1,400000,72,67,60,67,36,62
184252,L. Pratto,32,River Plate,ST,18000,2,5500000,72,74,70,73,63,82
184255,K. Sigþórsson,30,AIK,ST,5000,2,1000000,56,69,58,63,39,70
184290,T. Pekhart,31,Legia Warszawa,ST,5000,1,675000,52,67,51,57,41,72
184433,A. Nemec,34,Dinamo Bucureşti,ST,3000,1,400000,53,69,46,65,30,74
184520,R. Feczesin,33,Hungary,ST,0,1,0,62,63,60,64,38,70
184614,M. Kramer,31,ADO Den Haag,ST,3000,1,575000,46,64,56,56,35,63
184624,J. Rhodes,30,Sheffield Wednesday,ST,9000,1,875000,60,69,53,62,39,63
184707,G. Madine,29,Blackpool,ST,4000,1,650000,51,66,51,61,32,78
184747,C. Martin,31,Bristol City,ST,15000,1,675000,37,71,58,62,42,70
184777,E. Herrera,31,Puebla FC,ST,3000,1,475000,33,66,60,59,36,80
184789,A. Szalai,32,1. FSV Mainz 05,ST,18000,2,1900000,34,71,59,70,39,78
184878,T. Høiland,31,Viking FK,ST,2000,1,575000,78,66,52,67,33,75
184982,M. Larrondo,30,Club Atlético Tigre,ST,8000,1,1000000,48,68,61,66,33,65
185068,J. Russell,30,Sporting Kansas City,RW,9000,1,5500000,77,73,70,75,48,77
185144,M. Coda,31,Lecce,ST,21000,1,1600000,60,72,51,69,25,59
185199,S. Ribas,32,Central Córdoba,ST,10000,1,2500000,63,74,51,66,30,74
186127,C. Evans,31,Fleetwood Town,ST,3000,1,475000,62,66,53,59,39,72
186416,C. Hidalgo,34,Deportivo Pasto,ST,750,1,240000,59,60,51,67,39,59
186514,M. Galvan,27,FC Juárez,ST,4000,1,525000,70,67,56,64,22,56
186524,F. Đorđević,32,Chievo Verona,ST,3000,2,1400000,57,72,59,66,49,73
186537,C. Stuani,33,Girona FC,ST,16000,1,8000000,67,81,70,73,48,82
186562,J. Magennis,29,Hull City,ST,4000,1,750000,78,63,55,61,54,84
186614,S. Di Carmine,31,Hellas Verona,ST,23000,1,3600000,67,73,53,73,36,76
186627,M. Balotelli,29,Brescia,ST,500,4,12500000,74,82,72,78,24,74
186954,B. Ideye,31,Göztepe SK,ST,17000,2,2100000,73,71,61,67,40,69
186961,A. Paloschi,30,SPAL,ST,26000,2,3000000,65,68,58,71,27,72
187075,D. Moreno,34,Club Atlético Talleres,ST,14000,1,2100000,65,75,74,73,42,67
187076,S. Hain,31,SpVgg Unterhaching,ST,3000,1,575000,71,65,54,69,25,64
187157,M. Godden,28,Coventry City,ST,19000,1,925000,65,68,52,66,31,67
187345,Cho Dong Gun,34,Sagan Tosu,ST,2000,1,275000,70,62,55,58,28,68
187515,Keirrison,27,FC Arouca,ST,8000,1,1400000,66,70,61,68,37,62
187607,A. Dzyuba,31,Russia,ST,0,2,0,68,78,69,71,29,85
187761,E. Doyle,32,Bolton Wanderers,ST,5000,1,525000,63,67,58,64,28,70
187942,R. Gestede,30,Middlesbrough,ST,15000,1,875000,55,66,49,62,37,75
188091,F. Gulbrandsen,27,Medipol Başakşehir FK,ST,24000,1,2500000,86,70,58,75,36,77
188274,M. Yatabaré,34,Sivasspor,ST,11000,1,925000,64,71,60,66,31,75
188289,E. Rivière,30,Crotone,ST,5000,1,725000,76,67,57,64,31,59
188335,A. Budimir,28,RCD Mallorca,ST,12000,2,8000000,66,76,48,71,35,77
188428,S. Doumbia,31,FC Sion,ST,21000,3,2100000,87,67,64,66,38,65
188484,A. Hernández,27,PFC CSKA Moscow,ST,1000,2,7000000,82,74,62,72,30,69
188506,R. Meggiorini,33,Chievo Verona,ST,5000,2,2000000,67,70,66,73,37,67
188572,G. Assulin,29,Politehnica Iaşi,LW,3000,1,450000,76,55,55,72,27,40
188871,L. Kozák,31,Sparta Praha,ST,500,1,2100000,52,71,53,65,32,75
188964,Bragança,25,FC Ingolstadt 04,LW,0,1,0,75,60,61,66,33,67
188996,A. Nuhiu,29,Sheffield Wednesday,ST,11000,1,750000,33,66,59,65,42,78
189053,F. Caputo,32,Sassuolo,ST,42000,1,10000000,83,79,61,78,30,66
189068,B. Dost,31,Eintracht Frankfurt,ST,33000,3,9500000,47,81,57,65,51,76
189169,Jonathas,31,Elche CF,ST,18000,1,3600000,70,73,59,68,31,77
189208,C. Sheridan,31,Wisła Płock,ST,2000,1,475000,75,63,57,60,25,74
189224,Júnior Negão,33,Ulsan Hyundai FC,ST,10000,1,3500000,74,74,58,70,35,77
189225,B. Fornaroli,32,Perth Glory,ST,8000,1,3200000,75,72,64,76,38,76
189250,S. Rondón,30,Venezuela,ST,21000,2,8500000,69,76,66,71,32,81
189303,Nélson Oliveira,28,AEK Athens,ST,500,1,7000000,71,76,65,72,37,75
189447,A. Sobiech,30,Fatih Karagümrük S.K.,ST,7000,2,875000,69,67,56,64,31,71
189451,A. Nahuelpan,32,Club Tijuana,ST,17000,1,2500000,50,74,59,65,39,82
189485,Diego Farías,30,Spezia,ST,500,1,2300000,83,69,68,79,38,46
189536,D. Čop,30,Standard de Liège,ST,6000,1,725000,47,68,62,69,33,65
189607,M. Schäffler,31,1. FC Nürnberg,ST,12000,1,3600000,68,76,51,63,32,78
189655,Z. Ondrášek,31,Viktoria Plzeň,ST,500,1,800000,66,66,54,58,32,81
189661,Álvaro Giménez,29,Cádiz CF,ST,18000,1,1800000,72,70,57,68,29,65
189717,R. Ghoochannejhad,32,PEC Zwolle,ST,4000,1,600000,66,66,60,69,43,59
189723,S. Armenteros,30,Crotone,ST,8000,1,1700000,70,70,62,72,37,67
189757,A. Prijović,30,Al Ittihad,ST,28000,1,3000000,64,72,55,67,35,76
189795,Éder,32,Lokomotiv Moscow,ST,42000,2,4500000,76,73,60,68,41,79
189805,L. de Jong,29,Sevilla FC,ST,38000,2,15000000,55,78,70,69,50,76
189910,C. Main,28,Aberdeen,ST,3000,1,475000,70,64,47,57,35,83
189949,Jael,30,FC Tokyo,ST,4000,1,625000,66,64,55,59,24,74
189963,W. Bony,31,Al Ittihad,ST,32000,2,3600000,48,76,58,68,38,72
189975,Y. Seleznyov,32,Málaga CF,ST,9000,1,2500000,53,75,60,64,45,77
190024,Fernandão,31,Al Wehda,ST,20000,2,3600000,44,75,51,65,29,78
190058,D. Sorgić,30,AJ Auxerre,ST,4000,1,875000,56,71,62,69,35,70
190239,J. Bowery,28,Mansfield Town,ST,5000,2,375000,78,60,50,62,33,71
190311,L. Taylor,30,Nottingham Forest,ST,28000,1,1700000,80,69,56,70,38,69
190362,T. Pukki,30,Norwich City,ST,14000,1,7500000,76,75,58,75,33,69
190425,M. Abdellaoue,31,Sarpsborg 08 FF,ST,2000,1,475000,64,65,49,66,31,64
190457,K. Tokstad,28,Strømsgodset IF,RW,2000,1,550000,78,61,61,65,46,75
190461,B. Sigurðarson,28,Iceland,ST,0,1,0,79,69,62,74,39,83
190497,D. Hoesen,29,San Jose Earthquakes,ST,3000,1,750000,72,67,56,68,35,67
190518,F. Kastrati,28,Kristiansund BK,ST,1000,1,475000,80,62,52,64,40,73
190583,M. Smith,28,Rotherham United,ST,16000,1,800000,64,64,53,60,30,77
190644,H. Ibusuki,29,Shonan Bellmare,ST,2000,1,450000,48,62,45,56,27,65
190664,J. Schieber,31,FC Augsburg,ST,18000,2,2100000,51,74,58,64,30,67
190665,J. Obika,29,St. Mirren,ST,2000,1,450000,70,62,43,61,36,71
190720,T. Ricketts,32,Vancouver Whitecaps FC,ST,2000,1,200000,85,60,47,52,22,59
190724,M. Pourié,29,1. FC Kaiserslautern,ST,2000,1,650000,78,63,56,63,22,77
190732,K. Biliński,32,Podbeskidzie Bielsko-Biała,ST,1000,1,240000,62,62,55,61,24,59
190747,Ortuño,29,Albacete BP,ST,5000,1,1100000,64,71,55,62,31,69
190915,K. Wilczek,32,FC København,ST,19000,1,3200000,62,73,65,69,46,81
190981,M. Bakenga,27,Odds BK,ST,2000,1,475000,78,61,52,64,38,61
191089,C. Wickham,27,Crystal Palace,ST,25000,1,1200000,48,71,61,65,30,66
191123,D. Alar,30,SK Rapid Wien,ST,11000,1,725000,69,67,63,66,32,66
191547,S. Koroki,33,Urawa Red Diamonds,ST,8000,1,1100000,64,71,62,69,31,68
191856,H. Barcos,35,Atlético Nacional,ST,5000,2,1800000,58,71,66,65,46,74
191910,Kim Shin Wook,32,Shanghai Greenland Shenhua FC,ST,19000,2,6000000,63,76,62,67,41,84
192007,M. Zúñiga,25,Cruz Azul,ST,9000,1,975000,69,64,54,63,26,69
192302,A. Rudņevs,29,1. FC Köln,ST,40000,1,4000000,78,73,51,64,32,78
192337,B. Diawara,30,Adelaide United,ST,3000,1,875000,68,66,55,68,31,69
192450,A. Cook,29,Mansfield Town,ST,6000,1,550000,65,65,52,62,28,83
192473,L. Novak,31,Bradford City,ST,5000,1,325000,59,65,57,59,41,75
192561,L. Thy,28,Sparta Rotterdam,ST,4000,1,800000,72,67,62,66,46,72
192598,Ai Kesen,30,China PR,ST,32000,2,12000000,83,80,73,79,48,78
192647,G. Charbonnier,31,Stade Brestois 29,ST,17000,2,3600000,39,73,64,74,36,72
192660,S. Polter,29,Fortuna Sittard,ST,9000,1,1800000,72,69,50,61,28,84
192663,F. Klos,32,DSC Arminia Bielefeld,ST,27000,1,6000000,64,76,63,64,40,81
192671,M. Rondón,34,CFR Cluj,ST,6000,2,400000,68,65,64,68,26,74
192678,Kike García,30,SD Eibar,ST,31000,1,8500000,62,78,64,73,38,72
192930,A. Pulido,29,Sporting Kansas City,ST,7000,2,3100000,77,70,63,71,36,73
193028,S. Beavon,33,Coventry City,ST,4000,1,230000,74,62,53,65,33,72
193056,R. Janga,27,FC Lugano,ST,5000,1,1100000,75,66,40,63,28,76
193057,C. Benschop,29,FC Groningen,ST,6000,1,900000,59,69,60,61,38,77
193077,D. Falcinelli,28,Perugia,ST,4000,1,2400000,65,69,52,70,23,64
193166,L. Madrigal,26,Club Necaxa,ST,4000,1,650000,32,64,59,57,36,73
193169,C. Santos,32,VfL Osnabrück,ST,6000,1,725000,65,69,65,66,42,73
193338,M. Destro,29,Genoa,ST,13000,2,2400000,64,71,59,71,28,60
193408,H. Seferović,28,Switzerland,ST,15000,2,7000000,70,75,66,71,47,81
193422,T. Børven,28,MKE Ankaragücü,ST,19000,1,2400000,71,71,58,68,33,69
193528,I. Sylla,29,SV Zulte-Waregem,ST,7000,1,900000,66,67,57,66,28,68
193554,D. Sakho,29,Stade Rennais FC,ST,30000,1,4000000,71,72,58,71,32,72
193581,P. Škuletić,30,Montpellier HSC,ST,13000,1,875000,64,71,48,54,32,71
193584,G. Burgstaller,31,FC Schalke 04,ST,21000,1,2800000,55,72,66,69,39,81
193701,J. Norwood,29,Ipswich Town,ST,6000,1,750000,77,67,55,64,39,71
193794,Villalibre,22,Athletic Club de Bilbao,ST,14000,1,3400000,72,71,50,66,39,80
193798,J. Mason,29,Milton Keynes Dons,ST,3000,1,375000,64,63,58,65,37,61
193827,T. Dangda,32,Shimizu S-Pulse,ST,2000,1,725000,71,68,55,69,31,66
193983,A. Delort,28,Montpellier HSC,ST,43000,2,13000000,84,80,70,75,33,81
194018,J. Collins,29,Luton Town,ST,9000,1,1800000,67,68,54,65,42,80
194076,Airam Cabrera,31,Extremadura UD,ST,2000,1,475000,68,63,56,62,27,68
